# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-02-06 14:35:10 EST       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11497500 SPRAGUE RIVER NEAR BEATTY, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 11497500
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
USGS	11497500	1953-11-30	238	A
USGS	11497500	1953-12-01	225	A
USGS	11497500	1953-12-02	218	A
USGS	11497500	1953-12-03	218	A
USGS	11497500	1953-12-04	257	A
USGS	11497500	1953-12-05	251	A
USGS	11497500	1953-12-06	238	A
USGS	11497500	1953-12-07	236	A
USGS	11497500	1953-12-08	236	A
USGS	11497500	1953-12-09	262	A
USGS	11497500	1953-12-10	392	A
USGS	11497500	1953-12-11	324	A
USGS	11497500	1953-12-12	238	A
USGS	11497500	1953-12-13	225	A
USGS	11497500	1953-12-14	218	A
USGS	11497500	1953-12-15	223	A
USGS	11497500	1953-12-16	228	A
USGS	11497500	1953-12-17	246	A
USGS	11497500	1953-12-18	262	A
USGS	11497500	1953-12-19	345	A
USGS	11497500	1953-12-20	591	A
USGS	11497500	1953-12-21	521	A
USGS	11497500	1953-12-22	288	A
USGS	11497500	1953-12-23	207	A
USGS	11497500	1953-12-24	238	A
USGS	11497500	1953-12-25	210	A
USGS	11497500	1953-12-26	181	A
USGS	11497500	1953-12-27	220	A
USGS	11497500	1953-12-28	194	A
USGS	11497500	1953-12-29	181	A
USGS	11497500	1953-12-30	155	A
USGS	11497500	1953-12-31	168	A
USGS	11497500	1954-01-01	189	A
USGS	11497500	1954-01-02	181	A
USGS	11497500	1954-01-03	176	A
USGS	11497500	1954-01-04	176	A
USGS	11497500	1954-01-05	173	A
USGS	11497500	1954-01-06	181	A
USGS	11497500	1954-01-07	189	A
USGS	11497500	1954-01-08	184	A
USGS	11497500	1954-01-09	168	A
USGS	11497500	1954-01-10	179	A
USGS	11497500	1954-01-11	181	A
USGS	11497500	1954-01-12	166	A
USGS	11497500	1954-01-13	145	A
USGS	11497500	1954-01-14	176	A
USGS	11497500	1954-01-15	179	A
USGS	11497500	1954-01-16	192	A
USGS	11497500	1954-01-17	350	A
USGS	11497500	1954-01-18	301	A
USGS	11497500	1954-01-19	212	A
USGS	11497500	1954-01-20	155	A
USGS	11497500	1954-01-21	147	A
USGS	11497500	1954-01-22	192	A
USGS	11497500	1954-01-23	189	A
USGS	11497500	1954-01-24	176	A
USGS	11497500	1954-01-25	127	A
USGS	11497500	1954-01-26	153	A
USGS	11497500	1954-01-27	158	A
USGS	11497500	1954-01-28	171	A
USGS	11497500	1954-01-29	186	A
USGS	11497500	1954-01-30	264	A
USGS	11497500	1954-01-31	348	A
USGS	11497500	1954-02-01	332	A
USGS	11497500	1954-02-02	309	A
USGS	11497500	1954-02-03	293	A
USGS	11497500	1954-02-04	280	A
USGS	11497500	1954-02-05	259	A
USGS	11497500	1954-02-06	238	A
USGS	11497500	1954-02-07	231	A
USGS	11497500	1954-02-08	244	A
USGS	11497500	1954-02-09	259	A
USGS	11497500	1954-02-10	272	A
USGS	11497500	1954-02-11	296	A
USGS	11497500	1954-02-12	481	A
USGS	11497500	1954-02-13	898	A
USGS	11497500	1954-02-14	946	A
USGS	11497500	1954-02-15	554	A
USGS	11497500	1954-02-16	376	A
USGS	11497500	1954-02-17	397	A
USGS	11497500	1954-02-18	540	A
USGS	11497500	1954-02-19	427	A
USGS	11497500	1954-02-20	438	A
USGS	11497500	1954-02-21	543	A
USGS	11497500	1954-02-22	672	A
USGS	11497500	1954-02-23	637	A
USGS	11497500	1954-02-24	597	A
USGS	11497500	1954-02-25	591	A
USGS	11497500	1954-02-26	554	A
USGS	11497500	1954-02-27	438	A
USGS	11497500	1954-02-28	397	A
USGS	11497500	1954-03-01	400	A
USGS	11497500	1954-03-02	363	A
USGS	11497500	1954-03-03	335	A
USGS	11497500	1954-03-04	329	A
USGS	11497500	1954-03-05	355	A
USGS	11497500	1954-03-06	408	A
USGS	11497500	1954-03-07	462	A
USGS	11497500	1954-03-08	537	A
USGS	11497500	1954-03-09	1050	A
USGS	11497500	1954-03-10	1870	A
USGS	11497500	1954-03-11	1660	A
USGS	11497500	1954-03-12	998	A
USGS	11497500	1954-03-13	767	A
USGS	11497500	1954-03-14	683	A
USGS	11497500	1954-03-15	629	A
USGS	11497500	1954-03-16	594	A
USGS	11497500	1954-03-17	570	A
USGS	11497500	1954-03-18	546	A
USGS	11497500	1954-03-19	518	A
USGS	11497500	1954-03-20	483	A
USGS	11497500	1954-03-21	492	A
USGS	11497500	1954-03-22	448	A
USGS	11497500	1954-03-23	440	A
USGS	11497500	1954-03-24	448	A
USGS	11497500	1954-03-25	410	A
USGS	11497500	1954-03-26	381	A
USGS	11497500	1954-03-27	387	A
USGS	11497500	1954-03-28	400	A
USGS	11497500	1954-03-29	440	A
USGS	11497500	1954-03-30	438	A
USGS	11497500	1954-03-31	421	A
USGS	11497500	1954-04-01	392	A
USGS	11497500	1954-04-02	402	A
USGS	11497500	1954-04-03	446	A
USGS	11497500	1954-04-04	532	A
USGS	11497500	1954-04-05	794	A
USGS	11497500	1954-04-06	1100	A
USGS	11497500	1954-04-07	1080	A
USGS	11497500	1954-04-08	861	A
USGS	11497500	1954-04-09	824	A
USGS	11497500	1954-04-10	780	A
USGS	11497500	1954-04-11	762	A
USGS	11497500	1954-04-12	799	A
USGS	11497500	1954-04-13	864	A
USGS	11497500	1954-04-14	973	A
USGS	11497500	1954-04-15	1070	A
USGS	11497500	1954-04-16	1080	A
USGS	11497500	1954-04-17	1140	A
USGS	11497500	1954-04-18	1250	A
USGS	11497500	1954-04-19	1390	A
USGS	11497500	1954-04-20	1430	A
USGS	11497500	1954-04-21	1370	A
USGS	11497500	1954-04-22	1370	A
USGS	11497500	1954-04-23	1360	A
USGS	11497500	1954-04-24	1370	A
USGS	11497500	1954-04-25	1360	A
USGS	11497500	1954-04-26	1340	A
USGS	11497500	1954-04-27	1300	A
USGS	11497500	1954-04-28	1410	A
USGS	11497500	1954-04-29	1420	A
USGS	11497500	1954-04-30	1280	A
USGS	11497500	1954-05-01	1160	A
USGS	11497500	1954-05-02	1020	A
USGS	11497500	1954-05-03	943	A
USGS	11497500	1954-05-04	913	A
USGS	11497500	1954-05-05	904	A
USGS	11497500	1954-05-06	910	A
USGS	11497500	1954-05-07	922	A
USGS	11497500	1954-05-08	922	A
USGS	11497500	1954-05-09	952	A
USGS	11497500	1954-05-10	976	A
USGS	11497500	1954-05-11	973	A
USGS	11497500	1954-05-12	931	A
USGS	11497500	1954-05-13	866	A
USGS	11497500	1954-05-14	808	A
USGS	11497500	1954-05-15	767	A
USGS	11497500	1954-05-16	732	A
USGS	11497500	1954-05-17	713	A
USGS	11497500	1954-05-18	689	A
USGS	11497500	1954-05-19	686	A
USGS	11497500	1954-05-20	659	A
USGS	11497500	1954-05-21	597	A
USGS	11497500	1954-05-22	586	A
USGS	11497500	1954-05-23	564	A
USGS	11497500	1954-05-24	508	A
USGS	11497500	1954-05-25	478	A
USGS	11497500	1954-05-26	478	A
USGS	11497500	1954-05-27	451	A
USGS	11497500	1954-05-28	363	A
USGS	11497500	1954-05-29	416	A
USGS	11497500	1954-05-30	502	A
USGS	11497500	1954-05-31	432	A
USGS	11497500	1954-06-01	371	A
USGS	11497500	1954-06-02	335	A
USGS	11497500	1954-06-03	322	A
USGS	11497500	1954-06-04	332	A
USGS	11497500	1954-06-05	384	A
USGS	11497500	1954-06-06	456	A
USGS	11497500	1954-06-07	443	A
USGS	11497500	1954-06-08	448	A
USGS	11497500	1954-06-09	578	A
USGS	11497500	1954-06-10	556	A
USGS	11497500	1954-06-11	516	A
USGS	11497500	1954-06-12	473	A
USGS	11497500	1954-06-13	505	A
USGS	11497500	1954-06-14	475	A
USGS	11497500	1954-06-15	446	A
USGS	11497500	1954-06-16	497	A
USGS	11497500	1954-06-17	443	A
USGS	11497500	1954-06-18	416	A
USGS	11497500	1954-06-19	400	A
USGS	11497500	1954-06-20	384	A
USGS	11497500	1954-06-21	376	A
USGS	11497500	1954-06-22	337	A
USGS	11497500	1954-06-23	309	A
USGS	11497500	1954-06-24	270	A
USGS	11497500	1954-06-25	259	A
USGS	11497500	1954-06-26	275	A
USGS	11497500	1954-06-27	272	A
USGS	11497500	1954-06-28	272	A
USGS	11497500	1954-06-29	277	A
USGS	11497500	1954-06-30	285	A
USGS	11497500	1954-07-01	264	A
USGS	11497500	1954-07-02	254	A
USGS	11497500	1954-07-03	244	A
USGS	11497500	1954-07-04	210	A
USGS	11497500	1954-07-05	189	A
USGS	11497500	1954-07-06	173	A
USGS	11497500	1954-07-07	158	A
USGS	11497500	1954-07-08	153	A
USGS	11497500	1954-07-09	147	A
USGS	11497500	1954-07-10	145	A
USGS	11497500	1954-07-11	145	A
USGS	11497500	1954-07-12	145	A
USGS	11497500	1954-07-13	145	A
USGS	11497500	1954-07-14	140	A
USGS	11497500	1954-07-15	137	A
USGS	11497500	1954-07-16	129	A
USGS	11497500	1954-07-17	121	A
USGS	11497500	1954-07-18	108	A
USGS	11497500	1954-07-19	98	A
USGS	11497500	1954-07-20	98	A
USGS	11497500	1954-07-21	101	A
USGS	11497500	1954-07-22	103	A
USGS	11497500	1954-07-23	106	A
USGS	11497500	1954-07-24	108	A
USGS	11497500	1954-07-25	106	A
USGS	11497500	1954-07-26	108	A
USGS	11497500	1954-07-27	95	A
USGS	11497500	1954-07-28	88	A
USGS	11497500	1954-07-29	88	A
USGS	11497500	1954-07-30	82	A
USGS	11497500	1954-07-31	85	A
USGS	11497500	1954-08-01	88	A
USGS	11497500	1954-08-02	88	A
USGS	11497500	1954-08-03	88	A
USGS	11497500	1954-08-04	101	A
USGS	11497500	1954-08-05	101	A
USGS	11497500	1954-08-06	103	A
USGS	11497500	1954-08-07	101	A
USGS	11497500	1954-08-08	101	A
USGS	11497500	1954-08-09	95	A
USGS	11497500	1954-08-10	85	A
USGS	11497500	1954-08-11	85	A
USGS	11497500	1954-08-12	90	A
USGS	11497500	1954-08-13	93	A
USGS	11497500	1954-08-14	95	A
USGS	11497500	1954-08-15	98	A
USGS	11497500	1954-08-16	108	A
USGS	11497500	1954-08-17	108	A
USGS	11497500	1954-08-18	101	A
USGS	11497500	1954-08-19	101	A
USGS	11497500	1954-08-20	132	A
USGS	11497500	1954-08-21	114	A
USGS	11497500	1954-08-22	111	A
USGS	11497500	1954-08-23	106	A
USGS	11497500	1954-08-24	111	A
USGS	11497500	1954-08-25	108	A
USGS	11497500	1954-08-26	114	A
USGS	11497500	1954-08-27	142	A
USGS	11497500	1954-08-28	150	A
USGS	11497500	1954-08-29	137	A
USGS	11497500	1954-08-30	129	A
USGS	11497500	1954-08-31	129	A
USGS	11497500	1954-09-01	134	A
USGS	11497500	1954-09-02	132	A
USGS	11497500	1954-09-03	134	A
USGS	11497500	1954-09-04	140	A
USGS	11497500	1954-09-05	134	A
USGS	11497500	1954-09-06	137	A
USGS	11497500	1954-09-07	134	A
USGS	11497500	1954-09-08	140	A
USGS	11497500	1954-09-09	145	A
USGS	11497500	1954-09-10	145	A
USGS	11497500	1954-09-11	142	A
USGS	11497500	1954-09-12	134	A
USGS	11497500	1954-09-13	134	A
USGS	11497500	1954-09-14	134	A
USGS	11497500	1954-09-15	137	A
USGS	11497500	1954-09-16	150	A
USGS	11497500	1954-09-17	153	A
USGS	11497500	1954-09-18	155	A
USGS	11497500	1954-09-19	155	A
USGS	11497500	1954-09-20	153	A
USGS	11497500	1954-09-21	150	A
USGS	11497500	1954-09-22	147	A
USGS	11497500	1954-09-23	147	A
USGS	11497500	1954-09-24	147	A
USGS	11497500	1954-09-25	163	A
USGS	11497500	1954-09-26	160	A
USGS	11497500	1954-09-27	158	A
USGS	11497500	1954-09-28	155	A
USGS	11497500	1954-09-29	158	A
USGS	11497500	1954-09-30	163	A
USGS	11497500	1954-10-01	170	A
USGS	11497500	1954-10-02	164	A
USGS	11497500	1954-10-03	162	A
USGS	11497500	1954-10-04	162	A
USGS	11497500	1954-10-05	160	A
USGS	11497500	1954-10-06	160	A
USGS	11497500	1954-10-07	160	A
USGS	11497500	1954-10-08	160	A
USGS	11497500	1954-10-09	159	A
USGS	11497500	1954-10-10	160	A
USGS	11497500	1954-10-11	160	A
USGS	11497500	1954-10-12	157	A
USGS	11497500	1954-10-13	169	A
USGS	11497500	1954-10-14	167	A
USGS	11497500	1954-10-15	164	A
USGS	11497500	1954-10-16	163	A
USGS	11497500	1954-10-17	159	A
USGS	11497500	1954-10-18	157	A
USGS	11497500	1954-10-19	162	A
USGS	11497500	1954-10-20	178	A
USGS	11497500	1954-10-21	176	A
USGS	11497500	1954-10-22	174	A
USGS	11497500	1954-10-23	172	A
USGS	11497500	1954-10-24	169	A
USGS	11497500	1954-10-25	167	A
USGS	11497500	1954-10-26	166	A
USGS	11497500	1954-10-27	164	A
USGS	11497500	1954-10-28	164	A
USGS	11497500	1954-10-29	164	A
USGS	11497500	1954-10-30	164	A
USGS	11497500	1954-10-31	164	A
USGS	11497500	1954-11-01	164	A
USGS	11497500	1954-11-02	166	A
USGS	11497500	1954-11-03	163	A
USGS	11497500	1954-11-04	160	A
USGS	11497500	1954-11-05	160	A
USGS	11497500	1954-11-06	160	A
USGS	11497500	1954-11-07	160	A
USGS	11497500	1954-11-08	159	A
USGS	11497500	1954-11-09	160	A
USGS	11497500	1954-11-10	176	A
USGS	11497500	1954-11-11	179	A
USGS	11497500	1954-11-12	186	A
USGS	11497500	1954-11-13	192	A
USGS	11497500	1954-11-14	180	A
USGS	11497500	1954-11-15	196	A
USGS	11497500	1954-11-16	209	A
USGS	11497500	1954-11-17	194	A
USGS	11497500	1954-11-18	185	A
USGS	11497500	1954-11-19	180	A
USGS	11497500	1954-11-20	178	A
USGS	11497500	1954-11-21	176	A
USGS	11497500	1954-11-22	174	A
USGS	11497500	1954-11-23	173	A
USGS	11497500	1954-11-24	173	A
USGS	11497500	1954-11-25	173	A
USGS	11497500	1954-11-26	173	A
USGS	11497500	1954-11-27	173	A
USGS	11497500	1954-11-28	170	A
USGS	11497500	1954-11-29	163	A
USGS	11497500	1954-11-30	150	A
USGS	11497500	1954-12-01	173	A
USGS	11497500	1954-12-02	185	A
USGS	11497500	1954-12-03	186	A
USGS	11497500	1954-12-04	188	A
USGS	11497500	1954-12-05	185	A
USGS	11497500	1954-12-06	192	A
USGS	11497500	1954-12-07	192	A
USGS	11497500	1954-12-08	186	A
USGS	11497500	1954-12-09	184	A
USGS	11497500	1954-12-10	188	A
USGS	11497500	1954-12-11	173	A
USGS	11497500	1954-12-12	169	A
USGS	11497500	1954-12-13	198	A
USGS	11497500	1954-12-14	192	A
USGS	11497500	1954-12-15	191	A
USGS	11497500	1954-12-16	186	A
USGS	11497500	1954-12-17	164	A
USGS	11497500	1954-12-18	184	A
USGS	11497500	1954-12-19	180	A
USGS	11497500	1954-12-20	185	A
USGS	11497500	1954-12-21	186	A
USGS	11497500	1954-12-22	190	A
USGS	11497500	1954-12-23	191	A
USGS	11497500	1954-12-24	191	A
USGS	11497500	1954-12-25	185	A
USGS	11497500	1954-12-26	160	A
USGS	11497500	1954-12-27	169	A
USGS	11497500	1954-12-28	170	A
USGS	11497500	1954-12-29	184	A
USGS	11497500	1954-12-30	188	A
USGS	11497500	1954-12-31	190	A
USGS	11497500	1955-01-01	186	A
USGS	11497500	1955-01-02	178	A
USGS	11497500	1955-01-03	163	A
USGS	11497500	1955-01-04	170	A
USGS	11497500	1955-01-05	178	A
USGS	11497500	1955-01-06	188	A
USGS	11497500	1955-01-07	173	A
USGS	11497500	1955-01-08	173	A
USGS	11497500	1955-01-09	180	A
USGS	11497500	1955-01-10	194	A
USGS	11497500	1955-01-11	188	A
USGS	11497500	1955-01-12	182	A
USGS	11497500	1955-01-13	188	A
USGS	11497500	1955-01-14	182	A
USGS	11497500	1955-01-15	180	A
USGS	11497500	1955-01-16	186	A
USGS	11497500	1955-01-17	182	A
USGS	11497500	1955-01-18	182	A
USGS	11497500	1955-01-19	184	A
USGS	11497500	1955-01-20	184	A
USGS	11497500	1955-01-21	185	A
USGS	11497500	1955-01-22	185	A
USGS	11497500	1955-01-23	186	A
USGS	11497500	1955-01-24	184	A
USGS	11497500	1955-01-25	180	A
USGS	11497500	1955-01-26	178	A
USGS	11497500	1955-01-27	163	A
USGS	11497500	1955-01-28	178	A
USGS	11497500	1955-01-29	180	A
USGS	11497500	1955-01-30	196	A
USGS	11497500	1955-01-31	192	A
USGS	11497500	1955-02-01	190	A
USGS	11497500	1955-02-02	180	A
USGS	11497500	1955-02-03	179	A
USGS	11497500	1955-02-04	167	A
USGS	11497500	1955-02-05	191	A
USGS	11497500	1955-02-06	191	A
USGS	11497500	1955-02-07	191	A
USGS	11497500	1955-02-08	192	A
USGS	11497500	1955-02-09	194	A
USGS	11497500	1955-02-10	176	A
USGS	11497500	1955-02-11	173	A
USGS	11497500	1955-02-12	192	A
USGS	11497500	1955-02-13	188	A
USGS	11497500	1955-02-14	186	A
USGS	11497500	1955-02-15	188	A
USGS	11497500	1955-02-16	192	A
USGS	11497500	1955-02-17	209	A
USGS	11497500	1955-02-18	208	A
USGS	11497500	1955-02-19	180	A
USGS	11497500	1955-02-20	184	A
USGS	11497500	1955-02-21	188	A
USGS	11497500	1955-02-22	190	A
USGS	11497500	1955-02-23	184	A
USGS	11497500	1955-02-24	184	A
USGS	11497500	1955-02-25	185	A
USGS	11497500	1955-02-26	185	A
USGS	11497500	1955-02-27	180	A
USGS	11497500	1955-02-28	179	A
USGS	11497500	1955-03-01	182	A
USGS	11497500	1955-03-02	180	A
USGS	11497500	1955-03-03	179	A
USGS	11497500	1955-03-04	176	A
USGS	11497500	1955-03-05	172	A
USGS	11497500	1955-03-06	176	A
USGS	11497500	1955-03-07	186	A
USGS	11497500	1955-03-08	204	A
USGS	11497500	1955-03-09	238	A
USGS	11497500	1955-03-10	228	A
USGS	11497500	1955-03-11	260	A
USGS	11497500	1955-03-12	297	A
USGS	11497500	1955-03-13	275	A
USGS	11497500	1955-03-14	215	A
USGS	11497500	1955-03-15	197	A
USGS	11497500	1955-03-16	194	A
USGS	11497500	1955-03-17	192	A
USGS	11497500	1955-03-18	202	A
USGS	11497500	1955-03-19	206	A
USGS	11497500	1955-03-20	194	A
USGS	11497500	1955-03-21	192	A
USGS	11497500	1955-03-22	192	A
USGS	11497500	1955-03-23	194	A
USGS	11497500	1955-03-24	208	A
USGS	11497500	1955-03-25	237	A
USGS	11497500	1955-03-26	265	A
USGS	11497500	1955-03-27	279	A
USGS	11497500	1955-03-28	317	A
USGS	11497500	1955-03-29	532	A
USGS	11497500	1955-03-30	442	A
USGS	11497500	1955-03-31	301	A
USGS	11497500	1955-04-01	323	A
USGS	11497500	1955-04-02	317	A
USGS	11497500	1955-04-03	273	A
USGS	11497500	1955-04-04	252	A
USGS	11497500	1955-04-05	237	A
USGS	11497500	1955-04-06	233	A
USGS	11497500	1955-04-07	254	A
USGS	11497500	1955-04-08	289	A
USGS	11497500	1955-04-09	315	A
USGS	11497500	1955-04-10	335	A
USGS	11497500	1955-04-11	339	A
USGS	11497500	1955-04-12	291	A
USGS	11497500	1955-04-13	275	A
USGS	11497500	1955-04-14	281	A
USGS	11497500	1955-04-15	271	A
USGS	11497500	1955-04-16	260	A
USGS	11497500	1955-04-17	263	A
USGS	11497500	1955-04-18	273	A
USGS	11497500	1955-04-19	269	A
USGS	11497500	1955-04-20	261	A
USGS	11497500	1955-04-21	329	A
USGS	11497500	1955-04-22	415	A
USGS	11497500	1955-04-23	373	A
USGS	11497500	1955-04-24	329	A
USGS	11497500	1955-04-25	303	A
USGS	11497500	1955-04-26	305	A
USGS	11497500	1955-04-27	293	A
USGS	11497500	1955-04-28	283	A
USGS	11497500	1955-04-29	301	A
USGS	11497500	1955-04-30	313	A
USGS	11497500	1955-05-01	297	A
USGS	11497500	1955-05-02	285	A
USGS	11497500	1955-05-03	283	A
USGS	11497500	1955-05-04	289	A
USGS	11497500	1955-05-05	291	A
USGS	11497500	1955-05-06	295	A
USGS	11497500	1955-05-07	337	A
USGS	11497500	1955-05-08	351	A
USGS	11497500	1955-05-09	379	A
USGS	11497500	1955-05-10	375	A
USGS	11497500	1955-05-11	426	A
USGS	11497500	1955-05-12	433	A
USGS	11497500	1955-05-13	447	A
USGS	11497500	1955-05-14	396	A
USGS	11497500	1955-05-15	385	A
USGS	11497500	1955-05-16	369	A
USGS	11497500	1955-05-17	347	A
USGS	11497500	1955-05-18	345	A
USGS	11497500	1955-05-19	361	A
USGS	11497500	1955-05-20	359	A
USGS	11497500	1955-05-21	396	A
USGS	11497500	1955-05-22	410	A
USGS	11497500	1955-05-23	415	A
USGS	11497500	1955-05-24	401	A
USGS	11497500	1955-05-25	361	A
USGS	11497500	1955-05-26	365	A
USGS	11497500	1955-05-27	353	A
USGS	11497500	1955-05-28	349	A
USGS	11497500	1955-05-29	343	A
USGS	11497500	1955-05-30	349	A
USGS	11497500	1955-05-31	331	A
USGS	11497500	1955-06-01	323	A
USGS	11497500	1955-06-02	307	A
USGS	11497500	1955-06-03	305	A
USGS	11497500	1955-06-04	331	A
USGS	11497500	1955-06-05	315	A
USGS	11497500	1955-06-06	295	A
USGS	11497500	1955-06-07	275	A
USGS	11497500	1955-06-08	275	A
USGS	11497500	1955-06-09	271	A
USGS	11497500	1955-06-10	273	A
USGS	11497500	1955-06-11	256	A
USGS	11497500	1955-06-12	247	A
USGS	11497500	1955-06-13	247	A
USGS	11497500	1955-06-14	252	A
USGS	11497500	1955-06-15	256	A
USGS	11497500	1955-06-16	256	A
USGS	11497500	1955-06-17	247	A
USGS	11497500	1955-06-18	235	A
USGS	11497500	1955-06-19	226	A
USGS	11497500	1955-06-20	216	A
USGS	11497500	1955-06-21	218	A
USGS	11497500	1955-06-22	208	A
USGS	11497500	1955-06-23	206	A
USGS	11497500	1955-06-24	203	A
USGS	11497500	1955-06-25	209	A
USGS	11497500	1955-06-26	203	A
USGS	11497500	1955-06-27	206	A
USGS	11497500	1955-06-28	206	A
USGS	11497500	1955-06-29	197	A
USGS	11497500	1955-06-30	212	A
USGS	11497500	1955-07-01	198	A
USGS	11497500	1955-07-02	196	A
USGS	11497500	1955-07-03	190	A
USGS	11497500	1955-07-04	190	A
USGS	11497500	1955-07-05	178	A
USGS	11497500	1955-07-06	178	A
USGS	11497500	1955-07-07	169	A
USGS	11497500	1955-07-08	166	A
USGS	11497500	1955-07-09	160	A
USGS	11497500	1955-07-10	159	A
USGS	11497500	1955-07-11	150	A
USGS	11497500	1955-07-12	150	A
USGS	11497500	1955-07-13	145	A
USGS	11497500	1955-07-14	143	A
USGS	11497500	1955-07-15	138	A
USGS	11497500	1955-07-16	136	A
USGS	11497500	1955-07-17	133	A
USGS	11497500	1955-07-18	130	A
USGS	11497500	1955-07-19	129	A
USGS	11497500	1955-07-20	126	A
USGS	11497500	1955-07-21	124	A
USGS	11497500	1955-07-22	124	A
USGS	11497500	1955-07-23	122	A
USGS	11497500	1955-07-24	119	A
USGS	11497500	1955-07-25	119	A
USGS	11497500	1955-07-26	117	A
USGS	11497500	1955-07-27	116	A
USGS	11497500	1955-07-28	115	A
USGS	11497500	1955-07-29	115	A
USGS	11497500	1955-07-30	115	A
USGS	11497500	1955-07-31	112	A
USGS	11497500	1955-08-01	107	A
USGS	11497500	1955-08-02	106	A
USGS	11497500	1955-08-03	103	A
USGS	11497500	1955-08-04	99	A
USGS	11497500	1955-08-05	96	A
USGS	11497500	1955-08-06	93	A
USGS	11497500	1955-08-07	92	A
USGS	11497500	1955-08-08	92	A
USGS	11497500	1955-08-09	93	A
USGS	11497500	1955-08-10	90	A
USGS	11497500	1955-08-11	87	A
USGS	11497500	1955-08-12	86	A
USGS	11497500	1955-08-13	85	A
